"year";"month";"P_PRODUCTION";"fleet_segment"
"2010";"Sep";0.1659472640954;"ITA_TM_VL_1218"
"2010";"Oct";0.177503864489279;"ITA_TM_VL_1218"
"2010";"Nov";0.201782991585777;"ITA_TM_VL_1218"
"2010";"Dec";0.230046162864783;"ITA_TM_VL_1218"
"2011";"Jan";0.195771125505329;"ITA_TM_VL_1218"
"2011";"Feb";0.108856109979167;"ITA_TM_VL_1218"
"2011";"Mar";0.127171911402286;"ITA_TM_VL_1218"
"2011";"Apr";0.138177042592561;"ITA_TM_VL_1218"
"2011";"May";0.155130270704924;"ITA_TM_VL_1218"
"2011";"Jun";0.139509488923766;"ITA_TM_VL_1218"
"2011";"Jul";0.121068382922659;"ITA_TM_VL_1218"
"2011";"Aug";0;"ITA_TM_VL_1218"
"2011";"Sep";0;"ITA_TM_VL_1218"
"2011";"Oct";0.114214594464573;"ITA_TM_VL_1218"
"2011";"Nov";0.134493852393657;"ITA_TM_VL_1218"
"2011";"Dec";0.160759462305687;"ITA_TM_VL_1218"
"2012";"Jan";0.127883183620484;"ITA_TM_VL_1218"
"2012";"Feb";0.0712631205649387;"ITA_TM_VL_1218"
"2012";"Mar";0.219673643486214;"ITA_TM_VL_1218"
"2012";"Apr";0.208982172476104;"ITA_TM_VL_1218"
"2012";"May";0.185139934800807;"ITA_TM_VL_1218"
"2012";"Jun";0.145498835964301;"ITA_TM_VL_1218"
"2012";"Jul";0.0965608593718745;"ITA_TM_VL_1218"
"2012";"Aug";0.0389109292210168;"ITA_TM_VL_1218"
"2012";"Sep";0.236637168362856;"ITA_TM_VL_1218"
"2012";"Oct";0.10104349126519;"ITA_TM_VL_1218"
"2012";"Nov";0.115117761084945;"ITA_TM_VL_1218"
"2012";"Dec";0.222673809017231;"ITA_TM_VL_1218"
"2013";"Jan";0.127913471542513;"ITA_TM_VL_1218"
"2013";"Feb";0.0691617406646294;"ITA_TM_VL_1218"
"2013";"Mar";0.0961027868689003;"ITA_TM_VL_1218"
"2013";"Apr";0.166502723569125;"ITA_TM_VL_1218"
"2013";"May";0.109090168011806;"ITA_TM_VL_1218"
"2013";"Jun";0.115137616301613;"ITA_TM_VL_1218"
"2013";"Jul";0.0644807855525175;"ITA_TM_VL_1218"
"2013";"Aug";0;"ITA_TM_VL_1218"
"2013";"Sep";0.121557026585642;"ITA_TM_VL_1218"
"2013";"Oct";0.0735242363912556;"ITA_TM_VL_1218"
"2013";"Nov";0.0771044423892387;"ITA_TM_VL_1218"
"2013";"Dec";0.127055226850992;"ITA_TM_VL_1218"
"2014";"Jan";0.127913471542513;"ITA_TM_VL_1218"
"2014";"Feb";0.0691617406646294;"ITA_TM_VL_1218"
"2014";"Mar";0.0961027868689003;"ITA_TM_VL_1218"
"2014";"Apr";0.166502723569125;"ITA_TM_VL_1218"
"2014";"May";0.109090168011806;"ITA_TM_VL_1218"
"2014";"Jun";0.115137616301613;"ITA_TM_VL_1218"
"2014";"Jul";0.0644807855525175;"ITA_TM_VL_1218"
"2014";"Aug";0;"ITA_TM_VL_1218"
"2014";"Sep";0.121557026585642;"ITA_TM_VL_1218"
"2014";"Oct";0.0735242363912556;"ITA_TM_VL_1218"
"2014";"Nov";0.0771044423892387;"ITA_TM_VL_1218"
"2014";"Dec";0.127055226850992;"ITA_TM_VL_1218"
"";"seed";0.222147753114153;"ITA_TM_VL_1824"
"2008";"Jan";0.222147753114153;"ITA_TM_VL_1824"
"2008";"Feb";0.172224177729116;"ITA_TM_VL_1824"
"2008";"Mar";0.178364256384361;"ITA_TM_VL_1824"
"2008";"Apr";0.189141358748335;"ITA_TM_VL_1824"
"2008";"May";0.183134485528174;"ITA_TM_VL_1824"
"2008";"Jun";0.126930050921271;"ITA_TM_VL_1824"
"2008";"Jul";0.180695006391246;"ITA_TM_VL_1824"
"2008";"Aug";0.00807631024790418;"ITA_TM_VL_1824"
"2008";"Sep";0.122498761763297;"ITA_TM_VL_1824"
"2008";"Oct";0.11622000700744;"ITA_TM_VL_1824"
"2008";"Nov";0.134547342742974;"ITA_TM_VL_1824"
"2008";"Dec";0.137884684923994;"ITA_TM_VL_1824"
"2009";"Jan";0.203481995137868;"ITA_TM_VL_1824"
"2009";"Feb";0.145798246948979;"ITA_TM_VL_1824"
"2009";"Mar";0.146568332281816;"ITA_TM_VL_1824"
"2009";"Apr";0.171912505639633;"ITA_TM_VL_1824"
"2009";"May";0.177563402015721;"ITA_TM_VL_1824"
"2009";"Jun";0.20547746460585;"ITA_TM_VL_1824"
"2009";"Jul";0.139759621302168;"ITA_TM_VL_1824"
"2009";"Aug";0.00682324319867694;"ITA_TM_VL_1824"
"2009";"Sep";0.121113777967894;"ITA_TM_VL_1824"
"2009";"Oct";0.135191142789316;"ITA_TM_VL_1824"
"2009";"Nov";0.153286257681931;"ITA_TM_VL_1824"
"2009";"Dec";0.157664734686204;"ITA_TM_VL_1824"
"2010";"Jan";0.217215903943543;"ITA_TM_VL_1824"
"2010";"Feb";0.238201219030224;"ITA_TM_VL_1824"
"2010";"Mar";0.233233884204923;"ITA_TM_VL_1824"
"2010";"Apr";0.175170586721252;"ITA_TM_VL_1824"
"2010";"May";0.228263379693921;"ITA_TM_VL_1824"
"2010";"Jun";0.149731948747323;"ITA_TM_VL_1824"
"2010";"Jul";0.11358376883407;"ITA_TM_VL_1824"
"2010";"Aug";0;"ITA_TM_VL_1824"
"2010";"Sep";0.21501426377124;"ITA_TM_VL_1824"
"2010";"Oct";0.229498804141729;"ITA_TM_VL_1824"
"2010";"Nov";0.155605596812468;"ITA_TM_VL_1824"
"2010";"Dec";0.136806490595747;"ITA_TM_VL_1824"
"2011";"Jan";0.201973351762839;"ITA_TM_VL_1824"
"2011";"Feb";0.16526188188961;"ITA_TM_VL_1824"
"2011";"Mar";0.188343573544397;"ITA_TM_VL_1824"
"2011";"Apr";0.094667592824828;"ITA_TM_VL_1824"
"2011";"May";0.134071371126497;"ITA_TM_VL_1824"
"2011";"Jun";0.117965725854676;"ITA_TM_VL_1824"
"2011";"Jul";0.129044366906413;"ITA_TM_VL_1824"
"2011";"Aug";0;"ITA_TM_VL_1824"
"2011";"Sep";0;"ITA_TM_VL_1824"
"2011";"Oct";0.163921268330971;"ITA_TM_VL_1824"
"2011";"Nov";0.131282110602641;"ITA_TM_VL_1824"
"2011";"Dec";0.104985994187356;"ITA_TM_VL_1824"
"2012";"Jan";0.169263764678102;"ITA_TM_VL_1824"
"2012";"Feb";0.147562942711015;"ITA_TM_VL_1824"
"2012";"Mar";0.153236890425676;"ITA_TM_VL_1824"
"2012";"Apr";0.0647710351562611;"ITA_TM_VL_1824"
"2012";"May";0.0402548977955981;"ITA_TM_VL_1824"
"2012";"Jun";0.0817361802294542;"ITA_TM_VL_1824"
"2012";"Jul";0.021881244336367;"ITA_TM_VL_1824"
"2012";"Aug";0.0200660745474235;"ITA_TM_VL_1824"
"2012";"Sep";0.118102105369742;"ITA_TM_VL_1824"
"2012";"Oct";0.118681322006807;"ITA_TM_VL_1824"
"2012";"Nov";0.110590106263008;"ITA_TM_VL_1824"
"2012";"Dec";0.105713225108069;"ITA_TM_VL_1824"
"2013";"Jan";0.141776843610236;"ITA_TM_VL_1824"
"2013";"Feb";0.107253269578957;"ITA_TM_VL_1824"
"2013";"Mar";0.131820122980036;"ITA_TM_VL_1824"
"2013";"Apr";0.0690075192541966;"ITA_TM_VL_1824"
"2013";"May";0.0646149108314695;"ITA_TM_VL_1824"
"2013";"Jun";0.0289829441681226;"ITA_TM_VL_1824"
"2013";"Jul";0.010926684647912;"ITA_TM_VL_1824"
"2013";"Aug";0;"ITA_TM_VL_1824"
"2013";"Sep";0.0551401205658277;"ITA_TM_VL_1824"
"2013";"Oct";0.0694799737948181;"ITA_TM_VL_1824"
"2013";"Nov";0.118923059623365;"ITA_TM_VL_1824"
"2013";"Dec";0.135582125358943;"ITA_TM_VL_1824"
"2014";"Jan";0.141776843610236;"ITA_TM_VL_1824"
"2014";"Feb";0.107253269578957;"ITA_TM_VL_1824"
"2014";"Mar";0.131820122980036;"ITA_TM_VL_1824"
"2014";"Apr";0.0690075192541966;"ITA_TM_VL_1824"
"2014";"May";0.0646149108314695;"ITA_TM_VL_1824"
"2014";"Jun";0.0289829441681226;"ITA_TM_VL_1824"
"2014";"Jul";0.010926684647912;"ITA_TM_VL_1824"
"2014";"Aug";0;"ITA_TM_VL_1824"
"2014";"Sep";0.0551401205658277;"ITA_TM_VL_1824"
"2014";"Oct";0.0694799737948181;"ITA_TM_VL_1824"
"2014";"Nov";0.118923059623365;"ITA_TM_VL_1824"
"2014";"Dec";0.135582125358943;"ITA_TM_VL_1824"
"";"seed";0.450799448073948;"ITA_TM_VL_2440"
"2008";"Jan";0.450799448073948;"ITA_TM_VL_2440"
"2008";"Feb";0.478685972215641;"ITA_TM_VL_2440"
"2008";"Mar";0.382987073730349;"ITA_TM_VL_2440"
"2008";"Apr";0.393517471406828;"ITA_TM_VL_2440"
"2008";"May";0.305672800693509;"ITA_TM_VL_2440"
"2008";"Jun";0.211097263850129;"ITA_TM_VL_2440"
"2008";"Jul";0.349051218384786;"ITA_TM_VL_2440"
"2008";"Aug";0.0247164147071367;"ITA_TM_VL_2440"
"2008";"Sep";0.354073243297648;"ITA_TM_VL_2440"
"2008";"Oct";0.393895400029391;"ITA_TM_VL_2440"
"2008";"Nov";0.426426095275521;"ITA_TM_VL_2440"
"2008";"Dec";0.37274540270968;"ITA_TM_VL_2440"
"2009";"Jan";0.333490321894519;"ITA_TM_VL_2440"
"2009";"Feb";0.277442071677457;"ITA_TM_VL_2440"
"2009";"Mar";0.36080239153509;"ITA_TM_VL_2440"
"2009";"Apr";0.317676764782837;"ITA_TM_VL_2440"
"2009";"May";0.255356629283739;"ITA_TM_VL_2440"
"2009";"Jun";0.231159165951881;"ITA_TM_VL_2440"
"2009";"Jul";0.268864401531494;"ITA_TM_VL_2440"
"2009";"Aug";0.0146713375257952;"ITA_TM_VL_2440"
"2009";"Sep";0.248400067343923;"ITA_TM_VL_2440"
"2009";"Oct";0.268318555943461;"ITA_TM_VL_2440"
"2009";"Nov";0.304114103646592;"ITA_TM_VL_2440"
"2009";"Dec";0.288864343158789;"ITA_TM_VL_2440"
"2010";"Jan";0.245111899108215;"ITA_TM_VL_2440"
"2010";"Feb";0.277230010738024;"ITA_TM_VL_2440"
"2010";"Mar";0.24347614500749;"ITA_TM_VL_2440"
"2010";"Apr";0.231158228395175;"ITA_TM_VL_2440"
"2010";"May";0.275162016691794;"ITA_TM_VL_2440"
"2010";"Jun";0.272869887737395;"ITA_TM_VL_2440"
"2010";"Jul";0.225938199482273;"ITA_TM_VL_2440"
"2010";"Aug";0;"ITA_TM_VL_2440"
"2010";"Sep";0.239421109712045;"ITA_TM_VL_2440"
"2010";"Oct";0.241978308188355;"ITA_TM_VL_2440"
"2010";"Nov";0.310770749070781;"ITA_TM_VL_2440"
"2010";"Dec";0.30157278107768;"ITA_TM_VL_2440"
"2011";"Jan";0.23662556024239;"ITA_TM_VL_2440"
"2011";"Feb";0.274421372244219;"ITA_TM_VL_2440"
"2011";"Mar";0.23576843124623;"ITA_TM_VL_2440"
"2011";"Apr";0.290440157830297;"ITA_TM_VL_2440"
"2011";"May";0.225300264361239;"ITA_TM_VL_2440"
"2011";"Jun";0.255105763309957;"ITA_TM_VL_2440"
"2011";"Jul";0.288699115207251;"ITA_TM_VL_2440"
"2011";"Aug";0;"ITA_TM_VL_2440"
"2011";"Sep";0;"ITA_TM_VL_2440"
"2011";"Oct";0.254452509459286;"ITA_TM_VL_2440"
"2011";"Nov";0.293591494283441;"ITA_TM_VL_2440"
"2011";"Dec";0.293005619353438;"ITA_TM_VL_2440"
"2012";"Jan";0.390789652401315;"ITA_TM_VL_2440"
"2012";"Feb";0.412408119072106;"ITA_TM_VL_2440"
"2012";"Mar";0.353247408244255;"ITA_TM_VL_2440"
"2012";"Apr";0.409155413498796;"ITA_TM_VL_2440"
"2012";"May";0.402220699148047;"ITA_TM_VL_2440"
"2012";"Jun";0.327854261207156;"ITA_TM_VL_2440"
"2012";"Jul";0.345039216172389;"ITA_TM_VL_2440"
"2012";"Aug";0.0982970816726049;"ITA_TM_VL_2440"
"2012";"Sep";0.173978996389556;"ITA_TM_VL_2440"
"2012";"Oct";0.394426533753109;"ITA_TM_VL_2440"
"2012";"Nov";0.427471279846925;"ITA_TM_VL_2440"
"2012";"Dec";0.359683166758618;"ITA_TM_VL_2440"
"2013";"Jan";0.403450888810099;"ITA_TM_VL_2440"
"2013";"Feb";0.353180294421696;"ITA_TM_VL_2440"
"2013";"Mar";0.302414035960936;"ITA_TM_VL_2440"
"2013";"Apr";0.336449277808749;"ITA_TM_VL_2440"
"2013";"May";0.392859676839385;"ITA_TM_VL_2440"
"2013";"Jun";0.398564070182477;"ITA_TM_VL_2440"
"2013";"Jul";0.421451801799812;"ITA_TM_VL_2440"
"2013";"Aug";0.0133431758424617;"ITA_TM_VL_2440"
"2013";"Sep";0.309562585583257;"ITA_TM_VL_2440"
"2013";"Oct";0.392536286373564;"ITA_TM_VL_2440"
"2013";"Nov";0.390275755820834;"ITA_TM_VL_2440"
"2013";"Dec";0.363765924605985;"ITA_TM_VL_2440"
"2014";"Jan";0.403450888810099;"ITA_TM_VL_2440"
"2014";"Feb";0.353180294421696;"ITA_TM_VL_2440"
"2014";"Mar";0.302414035960936;"ITA_TM_VL_2440"
"2014";"Apr";0.336449277808749;"ITA_TM_VL_2440"
"2014";"May";0.392859676839385;"ITA_TM_VL_2440"
"2014";"Jun";0.398564070182477;"ITA_TM_VL_2440"
"2014";"Jul";0.421451801799812;"ITA_TM_VL_2440"
"2014";"Aug";0.0133431758424617;"ITA_TM_VL_2440"
"2014";"Sep";0.309562585583257;"ITA_TM_VL_2440"
"2014";"Oct";0.392536286373564;"ITA_TM_VL_2440"
"2014";"Nov";0.390275755820834;"ITA_TM_VL_2440"
"2014";"Dec";0.363765924605985;"ITA_TM_VL_2440"
"";"seed";0.046367873477444;"ITA_PS_VL_2440"
"2008";"Jan";0.046367873477444;"ITA_PS_VL_2440"
"2008";"Feb";0.0613516374875419;"ITA_PS_VL_2440"
"2008";"Mar";0.0558876086742156;"ITA_PS_VL_2440"
"2008";"Apr";0.0666469181900983;"ITA_PS_VL_2440"
"2008";"May";0.1575903262639;"ITA_PS_VL_2440"
"2008";"Jun";0.220605218005915;"ITA_PS_VL_2440"
"2008";"Jul";0.199224007891174;"ITA_PS_VL_2440"
"2008";"Aug";0.32005976122953;"ITA_PS_VL_2440"
"2008";"Sep";0.204231082121989;"ITA_PS_VL_2440"
"2008";"Oct";0.187922891919476;"ITA_PS_VL_2440"
"2008";"Nov";0.0386830799914153;"ITA_PS_VL_2440"
"2008";"Dec";0.0375625736498301;"ITA_PS_VL_2440"
"2009";"Jan";0.00882927528918816;"ITA_PS_VL_2440"
"2009";"Feb";0.0281834844385326;"ITA_PS_VL_2440"
"2009";"Mar";0.0336096889547488;"ITA_PS_VL_2440"
"2009";"Apr";0.0612133595828625;"ITA_PS_VL_2440"
"2009";"May";0.119037411333582;"ITA_PS_VL_2440"
"2009";"Jun";0.118096035960515;"ITA_PS_VL_2440"
"2009";"Jul";0.148046938894895;"ITA_PS_VL_2440"
"2009";"Aug";0.313549859357441;"ITA_PS_VL_2440"
"2009";"Sep";0.160681197133472;"ITA_PS_VL_2440"
"2009";"Oct";0.101594900242054;"ITA_PS_VL_2440"
"2009";"Nov";0.0527876798410767;"ITA_PS_VL_2440"
"2009";"Dec";0.0258988792187488;"ITA_PS_VL_2440"
"2010";"Jan";0.018588854560454;"ITA_PS_VL_2440"
"2010";"Feb";0.016584332893525;"ITA_PS_VL_2440"
"2010";"Mar";0.0270935976552502;"ITA_PS_VL_2440"
"2010";"Apr";0.0234523621522016;"ITA_PS_VL_2440"
"2010";"May";0.0118547046194856;"ITA_PS_VL_2440"
"2010";"Jun";0.11223309038425;"ITA_PS_VL_2440"
"2010";"Jul";0.147645405774392;"ITA_PS_VL_2440"
"2010";"Aug";0.304002849858291;"ITA_PS_VL_2440"
"2010";"Sep";0.115579197006427;"ITA_PS_VL_2440"
"2010";"Oct";0.0762899268821505;"ITA_PS_VL_2440"
"2010";"Nov";0.0879605165696717;"ITA_PS_VL_2440"
"2010";"Dec";0.013974350303593;"ITA_PS_VL_2440"
"2011";"Jan";0.0275107862777952;"ITA_PS_VL_2440"
"2011";"Feb";0.0391400177624592;"ITA_PS_VL_2440"
"2011";"Mar";0.026507230074574;"ITA_PS_VL_2440"
"2011";"Apr";0.0710259524040537;"ITA_PS_VL_2440"
"2011";"May";0.115118780768197;"ITA_PS_VL_2440"
"2011";"Jun";0.137612161092786;"ITA_PS_VL_2440"
"2011";"Jul";0.0819295241193068;"ITA_PS_VL_2440"
"2011";"Aug";0.150406217372655;"ITA_PS_VL_2440"
"2011";"Sep";0.149546791998631;"ITA_PS_VL_2440"
"2011";"Oct";0.0959315386541468;"ITA_PS_VL_2440"
"2011";"Nov";0.0723023565923639;"ITA_PS_VL_2440"
"2011";"Dec";0.0366536224458891;"ITA_PS_VL_2440"
"2012";"Jan";0.0558688731500024;"ITA_PS_VL_2440"
"2012";"Feb";0.0653054810223064;"ITA_PS_VL_2440"
"2012";"Mar";0.0164161609454171;"ITA_PS_VL_2440"
"2012";"Apr";0.0778139357490203;"ITA_PS_VL_2440"
"2012";"May";0.147163365104853;"ITA_PS_VL_2440"
"2012";"Jun";0.173950280598082;"ITA_PS_VL_2440"
"2012";"Jul";0.229096360344133;"ITA_PS_VL_2440"
"2012";"Aug";0.240434444744499;"ITA_PS_VL_2440"
"2012";"Sep";0.153303156739811;"ITA_PS_VL_2440"
"2012";"Oct";0.129689598137231;"ITA_PS_VL_2440"
"2012";"Nov";0.0685083166611909;"ITA_PS_VL_2440"
"2012";"Dec";0.0622290428011738;"ITA_PS_VL_2440"
"2013";"Jan";0.00574216277314888;"ITA_PS_VL_2440"
"2013";"Feb";0.00624888699189466;"ITA_PS_VL_2440"
"2013";"Mar";0.00370651601153296;"ITA_PS_VL_2440"
"2013";"Apr";0.00178792768403467;"ITA_PS_VL_2440"
"2013";"May";0.00209627663228431;"ITA_PS_VL_2440"
"2013";"Jun";0.0317831692733131;"ITA_PS_VL_2440"
"2013";"Jul";0.0366718588690373;"ITA_PS_VL_2440"
"2013";"Aug";0.0625729698614768;"ITA_PS_VL_2440"
"2013";"Sep";0.137215549840702;"ITA_PS_VL_2440"
"2013";"Oct";0.108668369377709;"ITA_PS_VL_2440"
"2013";"Nov";0.0306252908644824;"ITA_PS_VL_2440"
"2013";"Dec";0.00595126562907823;"ITA_PS_VL_2440"
"2014";"Jan";0.00574216277314888;"ITA_PS_VL_2440"
"2014";"Feb";0.00624888699189466;"ITA_PS_VL_2440"
"2014";"Mar";0.00370651601153296;"ITA_PS_VL_2440"
"2014";"Apr";0.00178792768403467;"ITA_PS_VL_2440"
"2014";"May";0.00209627663228431;"ITA_PS_VL_2440"
"2014";"Jun";0.0317831692733131;"ITA_PS_VL_2440"
"2014";"Jul";0.0366718588690373;"ITA_PS_VL_2440"
"2014";"Aug";0.0625729698614768;"ITA_PS_VL_2440"
"2014";"Sep";0.137215549840702;"ITA_PS_VL_2440"
"2014";"Oct";0.108668369377709;"ITA_PS_VL_2440"
"2014";"Nov";0.0306252908644824;"ITA_PS_VL_2440"
"2014";"Dec";0.00595126562907823;"ITA_PS_VL_2440"
"";"seed";0.0256291171126058;"HRV_PS_VL_1218"
"2008";"Jan";0.0256291171126058;"HRV_PS_VL_1218"
"2008";"Feb";0.02563116898395;"HRV_PS_VL_1218"
"2008";"Mar";0.0304537824140159;"HRV_PS_VL_1218"
"2008";"Apr";0.023751876102279;"HRV_PS_VL_1218"
"2008";"May";0.0262399542287943;"HRV_PS_VL_1218"
"2008";"Jun";0.0387380685262394;"HRV_PS_VL_1218"
"2008";"Jul";0.0205328867120654;"HRV_PS_VL_1218"
"2008";"Aug";0.063053028694368;"HRV_PS_VL_1218"
"2008";"Sep";0.0288551529800414;"HRV_PS_VL_1218"
"2008";"Oct";0.0262108533198133;"HRV_PS_VL_1218"
"2008";"Nov";0.0363124353656695;"HRV_PS_VL_1218"
"2008";"Dec";0.040587204208537;"HRV_PS_VL_1218"
"2009";"Jan";0.0249574203583739;"HRV_PS_VL_1218"
"2009";"Feb";0.0290438785481702;"HRV_PS_VL_1218"
"2009";"Mar";0.0222020199061745;"HRV_PS_VL_1218"
"2009";"Apr";0.0262902870472959;"HRV_PS_VL_1218"
"2009";"May";0.0260396629102559;"HRV_PS_VL_1218"
"2009";"Jun";0.0242227384941571;"HRV_PS_VL_1218"
"2009";"Jul";0.0268746476141391;"HRV_PS_VL_1218"
"2009";"Aug";0.0651303912412754;"HRV_PS_VL_1218"
"2009";"Sep";0.0285487520818553;"HRV_PS_VL_1218"
"2009";"Oct";0.028724214152779;"HRV_PS_VL_1218"
"2009";"Nov";0.026834137413756;"HRV_PS_VL_1218"
"2009";"Dec";0.0343177011621076;"HRV_PS_VL_1218"
"2010";"Jan";0.0234333000033745;"HRV_PS_VL_1218"
"2010";"Feb";0.0293998035985423;"HRV_PS_VL_1218"
"2010";"Mar";0.0228715979667391;"HRV_PS_VL_1218"
"2010";"Apr";0.0248859273531628;"HRV_PS_VL_1218"
"2010";"May";0.0255317147128038;"HRV_PS_VL_1218"
"2010";"Jun";0.0270392875261115;"HRV_PS_VL_1218"
"2010";"Jul";0.0252641665952985;"HRV_PS_VL_1218"
"2010";"Aug";0.0744802823977082;"HRV_PS_VL_1218"
"2010";"Sep";0.0282553414476908;"HRV_PS_VL_1218"
"2010";"Oct";0.0293994029587797;"HRV_PS_VL_1218"
"2010";"Nov";0.0260981846530461;"HRV_PS_VL_1218"
"2010";"Dec";0.0339871416280068;"HRV_PS_VL_1218"
"2011";"Jan";0.0260437955793667;"HRV_PS_VL_1218"
"2011";"Feb";0.0317591980789401;"HRV_PS_VL_1218"
"2011";"Mar";0.0325208442822106;"HRV_PS_VL_1218"
"2011";"Apr";0.0312484140277751;"HRV_PS_VL_1218"
"2011";"May";0.0285286484596772;"HRV_PS_VL_1218"
"2011";"Jun";0.0269440452254106;"HRV_PS_VL_1218"
"2011";"Jul";0.0292125807332578;"HRV_PS_VL_1218"
"2011";"Aug";0.0654403782954836;"HRV_PS_VL_1218"
"2011";"Sep";0.0655065759569341;"HRV_PS_VL_1218"
"2011";"Oct";0.0286134362756036;"HRV_PS_VL_1218"
"2011";"Nov";0.0283708134531253;"HRV_PS_VL_1218"
"2011";"Dec";0.0311641517884508;"HRV_PS_VL_1218"
"2012";"Jan";0.0177884577198845;"HRV_PS_VL_1218"
"2012";"Feb";0.0210702837758351;"HRV_PS_VL_1218"
"2012";"Mar";0.0178739559810047;"HRV_PS_VL_1218"
"2012";"Apr";0.0166138470802661;"HRV_PS_VL_1218"
"2012";"May";0.0156378675658147;"HRV_PS_VL_1218"
"2012";"Jun";0.0188137055023269;"HRV_PS_VL_1218"
"2012";"Jul";0.0213453777473244;"HRV_PS_VL_1218"
"2012";"Aug";0.0418191462044142;"HRV_PS_VL_1218"
"2012";"Sep";0.022078334338733;"HRV_PS_VL_1218"
"2012";"Oct";0.0177859948259617;"HRV_PS_VL_1218"
"2012";"Nov";0.0193241864161048;"HRV_PS_VL_1218"
"2012";"Dec";0.0173375731834669;"HRV_PS_VL_1218"
"2013";"Jan";0.0310111909997601;"HRV_PS_VL_1218"
"2013";"Feb";0.0448249107492772;"HRV_PS_VL_1218"
"2013";"Mar";0.0449988126001669;"HRV_PS_VL_1218"
"2013";"Apr";0.0411644802078404;"HRV_PS_VL_1218"
"2013";"May";0.0416556905712305;"HRV_PS_VL_1218"
"2013";"Jun";0.0410949137044809;"HRV_PS_VL_1218"
"2013";"Jul";0.045048289928233;"HRV_PS_VL_1218"
"2013";"Aug";0.0892415338753555;"HRV_PS_VL_1218"
"2013";"Sep";0.0363621149409111;"HRV_PS_VL_1218"
"2013";"Oct";0.0343598109580548;"HRV_PS_VL_1218"
"2013";"Nov";0.036994352556996;"HRV_PS_VL_1218"
"2013";"Dec";0.0355046183330497;"HRV_PS_VL_1218"
"2014";"Jan";0.0310111909997601;"HRV_PS_VL_1218"
"2014";"Feb";0.0448249107492772;"HRV_PS_VL_1218"
"2014";"Mar";0.0449988126001669;"HRV_PS_VL_1218"
"2014";"Apr";0.0411644802078404;"HRV_PS_VL_1218"
"2014";"May";0.0416556905712305;"HRV_PS_VL_1218"
"2014";"Jun";0.0410949137044809;"HRV_PS_VL_1218"
"2014";"Jul";0.045048289928233;"HRV_PS_VL_1218"
"2014";"Aug";0.0892415338753555;"HRV_PS_VL_1218"
"2014";"Sep";0.0363621149409111;"HRV_PS_VL_1218"
"2014";"Oct";0.0343598109580548;"HRV_PS_VL_1218"
"2014";"Nov";0.036994352556996;"HRV_PS_VL_1218"
"2014";"Dec";0.0355046183330497;"HRV_PS_VL_1218"
"";"seed";0.0877996664340887;"HRV_PS_VL_1824"
"2008";"Jan";0.0877996664340887;"HRV_PS_VL_1824"
"2008";"Feb";0.0878066956898681;"HRV_PS_VL_1824"
"2008";"Mar";0.104327898844856;"HRV_PS_VL_1824"
"2008";"Apr";0.0813686554164669;"HRV_PS_VL_1824"
"2008";"May";0.089892258809053;"HRV_PS_VL_1824"
"2008";"Jun";0.132708024235131;"HRV_PS_VL_1824"
"2008";"Jul";0.0703411122719312;"HRV_PS_VL_1824"
"2008";"Aug";0.216005680675656;"HRV_PS_VL_1824"
"2008";"Sep";0.0988513492455086;"HRV_PS_VL_1824"
