run_N;a;b;c
68;6208746.944;0.853212342;2.523843262
69;19630492.52;0.918494793;2.379747807
70;11086711.96;0.920424046;2.360147323
71;12711319.4;0.849696333;2.595602371
72;12085217.32;0.950420585;2.518651103
73;4452914.266;0.855289719;2.357650283
74;13743470.1;0.915522396;2.474240696
75;15152662.96;0.917676742;2.619662099
76;13719985.63;0.887140599;2.507306122
77;12975937.02;0.892512698;2.623974865
78;12772595.25;0.940749941;2.405623992
79;12389302.34;0.944272501;2.48880235
80;7605211.903;0.923181699;2.538825051
81;7167415.581;0.924365491;2.61551247
82;6607564.368;0.909947163;2.467068514
83;12494068.84;0.883297318;2.514051492
84;15444302.58;0.90986718;2.556028858
85;10926057.65;0.865911302;2.502403172
86;9801618.205;0.875681785;2.573581312
87;7857273.025;0.924562283;2.416698944
88;14591409.77;0.932138293;2.456037407
89;10149686.12;0.910123108;2.584421374
90;15723980.21;0.911746308;2.386821809
91;9710765.587;0.891604153;2.402812697
92;8143336.47;0.896463136;2.507848295
93;9359039.324;0.917468308;2.567916776
94;9834019.005;0.912242272;2.520146644
95;9795178.31;0.862871816;2.518772559
96;14757704.85;0.894215862;2.560820387
97;2366312.287;0.885975558;2.522149926
98;8737214.504;0.867958251;2.507971338
99;18180019.56;0.903356213;2.417030417
100;9243629.047;0.870074041;2.703367823
101;13037959.94;0.898319707;2.55575988
102;9532884.437;0.933025641;2.468101463
103;14822560.26;0.910659664;2.461591212
104;13052351.93;0.865967039;2.638521644
105;14408186.94;0.872882636;2.393265134
106;10724955.15;0.902285284;2.569709636
107;6440747.811;0.883178861;2.772846263
108;11310092.39;0.950497687;2.670847361
109;13962051.07;0.902237617;2.582690225
110;11227632.92;0.905517748;2.423347347
111;8012021.675;0.912744026;2.419503669
112;14458536.92;0.883351824;2.601763753
113;14712732.72;0.92554015;2.433121616
114;12708943.7;0.899543954;2.584011265
115;14655097.05;0.845922931;2.353546205
116;13511167.9;0.897925186;2.382275003
117;12934382.07;0.868949493;2.480259459
118;13597045.24;0.948547701;2.57546751
119;8266993.833;0.933701066;2.365211818
120;9677766.411;0.933107872;2.472515545
121;11634256.66;0.957842651;2.390609105
122;13732696.86;0.93450146;2.476704034
123;11575535.75;0.927816657;2.464847982
124;11980853.09;0.877691154;2.516655201
125;9655371.677;0.883873376;2.688392832
126;11966354.43;0.88361706;2.66700926
127;12083988.27;0.939123612;2.591510463
128;7646060.577;0.927526398;2.578842913
129;10510908.82;0.895248508;2.546112239
130;13180005.58;0.92023073;2.326977238
131;11341028.66;0.922686077;2.495157305
132;16640832.6;0.915720015;2.448352478
133;12535992.96;0.902591465;2.411830751
134;15852668.88;0.927431221;2.49015407
135;15619141.7;0.920576574;2.459716285
136;9225157.445;0.912405367;2.473530257
137;12047776.69;0.893674751;2.470575569
138;11774767.03;0.840154602;2.520011465
139;17259012.54;0.908561265;2.61844073
140;16938814.96;0.876637641;2.462181429
141;10732465.98;0.918830099;2.48911375
142;8912969.653;0.897517933;2.581712586
143;13601702.73;0.856083555;2.483810092
144;10263983.46;0.843341956;2.561075093
145;12061380.05;0.868148987;2.485110475
146;12321993.61;0.896926632;2.38827022
147;10282329.4;0.883605604;2.431734092
148;11693904.48;0.91064788;2.402857489
149;10864317.56;0.898509038;2.469021103
150;6910233.742;0.843666691;2.435650039
151;9233169.859;0.892160443;2.625891557
152;12775518.01;0.902845413;2.493050379
153;13269913.19;0.884558324;2.649133984
154;9905148.83;0.901490362;2.497360028
155;12167595.24;0.884590099;2.587677222
156;11690333.43;0.898323777;2.484929283
157;11481132.47;0.911061266;2.404854071
158;11405604.57;0.910529964;2.496784012
159;13157617.76;0.890899513;2.596448183
160;4705338.46;0.898775537;2.606317002
161;13003484.61;0.871741709;2.46125756
162;13227572.63;0.899495559;2.557261333
163;17092282.95;0.903454369;2.595510108
164;11978178.95;0.913695173;2.460036204
165;11014055.26;0.886593669;2.444081127
166;11845419.85;0.884541447;2.413299898
167;14382882.32;0.929274523;2.394043177
168;13850733.43;0.93678315;2.518820571
169;10069345.76;0.938261424;2.620441538
170;8315487.392;0.914974249;2.586375422
171;12932831.78;0.91666531;2.545220048
172;12733899.91;0.90459459;2.483734688
173;6238062.125;0.900743942;2.467665692
174;9202732.299;0.900880253;2.496651221
175;9278056.258;0.893432166;2.427994366
176;15918743;0.916655416;2.562893745
177;15808142.29;0.945334372;2.604742264
178;13952070.49;0.840085567;2.490728011
179;13011947.76;0.870131427;2.442053767
180;9734585.757;0.970811503;2.445078831
181;10859916.26;0.928764971;2.521162429
182;6565130.631;0.917576938;2.508644317
183;12190135.88;0.884649913;2.544232345
184;13319146.19;0.883269116;2.519178162
185;13036242.76;0.930810064;2.573221106
186;18229027.7;0.88230566;2.453119594
187;11280107.28;0.858175804;2.536695416
188;13237398.51;0.851192533;2.459921784
189;12655223.46;0.921901147;2.590566522
190;15194318.35;0.882918895;2.462601465
191;10746726.68;0.886752761;2.585326058
192;13552140.22;0.882553211;2.367420714
193;14391624.02;0.896425808;2.4996329
194;10056059.66;0.908626431;2.499210582
195;11016955.47;0.895478632;2.441784234
196;10032600.21;0.916151737;2.539445163
197;13613530.7;0.87485297;2.564813437
198;13489692.59;0.852309505;2.41260256
199;10164709.66;0.813563385;2.662001401
200;4554466.314;0.866927333;2.333012656
201;12377807.62;0.90836682;2.395681177
202;14471866.58;0.915583266;2.506556725
203;8471480.827;0.922295026;2.393854619
204;14134756.06;0.904564437;2.48988819
205;11261476.81;0.916476163;2.518375166
206;17008623.62;0.865253716;2.53993853
207;13480678.97;0.882863956;2.608150845
208;7959663.68;0.906438991;2.439973163
209;5587791.84;0.878321576;2.422760934
210;9178769.376;0.961039565;2.482699801
211;13960003.17;0.922375778;2.492985177
212;14300690.14;0.922700736;2.543556504
213;11528112.29;0.900150769;2.536141866
214;12272613.97;0.855885395;2.549677517
215;13680279.84;0.889357171;2.417678763
216;12310081.48;0.865143006;2.349664736
217;10599904.17;0.914482827;2.445311644
218;7840419.355;0.912857402;2.573798291
219;13914090.71;0.903028705;2.534352694
220;10879536.05;0.878244844;2.604515092
221;14526460.55;0.95622516;2.591848381
222;13797906.31;0.898114815;2.553904184
223;13448203.79;0.917125092;2.585103529
224;12193698.75;0.856834782;2.435428329
225;15725774.04;0.892893904;2.557782495
226;13769208.39;0.852068506;2.620309467
227;17587134.83;0.918120569;2.587744591
228;11527419.28;0.879940513;2.654644744
229;9308134.669;0.913215055;2.612103072
230;13690336.53;0.928020663;2.499285122
231;11813935.09;0.868978825;2.47965318
232;11943593;0.874767849;2.457564282
233;10640633.71;0.90769737;2.530262782
234;9146096.706;0.906046809;2.354989475
235;14525582.82;0.900898438;2.413633141
236;13868073.02;0.937154609;2.513809374
237;13667091.65;0.889353972;2.446966459
238;10695251.37;0.94381909;2.509556551
239;11251882.39;0.923368643;2.360610978
240;15199946.43;0.926863094;2.515900981
241;12787399.72;0.871399684;2.655145833
242;7922696.514;0.898643947;2.572346524
243;16975140.14;0.841701147;2.464635515
244;10514777.57;0.954700342;2.439395988
245;7258859.315;0.923868277;2.377218453
246;11774256.1;0.960622305;2.492111216
247;13678102.99;0.895149048;2.529722082
248;16897111.68;0.946644184;2.511864605
249;15044963.12;0.916084468;2.473041038
250;17817086.55;0.863695038;2.361959191
251;16862837.91;0.903738954;2.537244693
252;13413949.62;0.865259747;2.448220026
253;14222036.17;0.90923687;2.634441666
254;13725742.48;0.863510281;2.487516047
255;5464167.659;0.827729286;2.433547116
256;19216535.87;0.845390824;2.426936051
257;8504561.982;0.932758753;2.438596769
258;13733011.79;0.928577426;2.584771863
259;12757141.95;0.889796012;2.592872602
260;13076160.03;0.887880414;2.439496122
261;8561610.257;0.842408065;2.590793931
262;9366993.775;0.905512745;2.590703596
263;14845472.76;0.919019215;2.426419689
264;15906033.54;0.88642818;2.552190483
265;12499414.44;0.905197494;2.478468404
266;12240636.58;0.908222462;2.474925802
267;9889297.7;0.920082287;2.473977485
268;16579227.88;0.912345644;2.46565766
269;13961276.65;0.856148812;2.486278615
270;16749223.3;0.913942175;2.438166931
271;5185425.308;0.932807973;2.448052594
272;12262461.81;0.919021356;2.564841643
273;9265759.39;0.958517916;2.534694609
274;11779209.47;0.865928674;2.512908696
275;9869497.905;0.908986379;2.465553484
276;9979240.963;0.902778054;2.436421743
277;14613312.02;0.910233604;2.406037646
278;9372155.977;0.913365112;2.415828406
279;8847708.128;0.858799386;2.677053825
280;13509089.39;0.874449455;2.537698407
281;9724205.179;0.891201537;2.446048624
282;14307599.28;0.88936029;2.447047638
283;14090753.21;0.918112211;2.540463477
284;12331145.96;0.87156902;2.485306816
285;10734040.5;0.91982599;2.611189422
286;15383693.64;0.835273145;2.591380257
287;12336491.48;0.891259611;2.526639624
288;15699921.53;0.852396635;2.515216729
289;15446422.96;0.895016363;2.589148741
290;18098056.17;0.884653729;2.487560025
291;7807561.815;0.862080522;2.511689657
292;11193831.3;0.90977539;2.550611314
293;11800915.46;0.861243572;2.587174291
294;13412698.23;0.895595463;2.526823104
295;12564073.27;0.897964772;2.528888014
296;13082939.55;0.900631962;2.529705624
297;11745269.78;0.911550913;2.508173877
298;11885864.27;0.913090212;2.549448171
299;10724200.55;0.917790697;2.521358901
300;13595014.16;0.944982772;2.59740616
301;11436477.28;0.872718452;2.572174111
302;15370150.29;0.892675301;2.484015387
303;12411795.14;0.97100689;2.430238376
304;15507424.6;0.908370454;2.550467817
305;9444294.375;0.900097714;2.426269547
306;12564130.61;0.876229623;2.706345425
307;8308281.141;0.902650245;2.365950672
308;9549973.322;0.861174359;2.472791133
309;13983669.1;0.857814138;2.562657522
310;14715349.19;0.861318494;2.59048782
311;13380482.72;0.928359789;2.535088418
312;12294653.58;0.911707655;2.409351057
313;13037729.08;0.889473286;2.503731088
314;10869663.81;0.911118064;2.552935038
315;8775749.45;0.919355947;2.441823504
316;11095328.54;0.843586479;2.366150829
317;19424335.68;0.918065998;2.475402234
318;8910734.605;0.876819688;2.463175089
319;15468593.92;0.977525615;2.478887366
320;15237578.48;0.936735296;2.455268284
321;15401461.62;0.933085007;2.498867574
322;13116322.12;0.92511296;2.525271818
323;12279218.66;0.858648407;2.448360693
324;17569048.76;0.924791342;2.539166518
325;15489625.78;0.86215432;2.478924678
326;7747573.987;0.909712773;2.534424659
327;13841319.24;0.884876215;2.546578938
328;9935745.934;0.936521063;2.34004415
329;10057536.22;0.92763315;2.572680936
330;11084840.59;0.844013091;2.360290877
331;13210899.95;0.917924892;2.627117202
332;10506620.34;0.872693695;2.575983943
333;13942606.39;0.908911359;2.448381363
334;12290083.08;0.865546752;2.510524451
335;7142169.658;0.884767478;2.504980044
336;3925504.682;0.937337727;2.57374741
337;12844895.17;0.842378055;2.447123889
338;11707029.3;0.893287897;2.539387277
339;12482673.31;0.829906913;2.540222322
340;6736576.342;0.848526759;2.526062303
341;12093831.01;0.896968567;2.54157134
342;12382756.37;0.864481889;2.400309917
343;14516960.08;0.871626592;2.508085626
344;10889618.58;0.913619462;2.428823745
345;9860672.1;0.915494842;2.544279659
346;11871650.88;0.928203824;2.547660465
347;12582516.62;0.886991731;2.360658735
348;14272379.07;0.925745586;2.54907659
349;11923830.89;0.906001375;2.554496482
350;10294890.57;0.874115908;2.621666401
351;11302063.16;0.934375674;2.544472832
352;5528443.79;0.883422591;2.564626702
353;13337911.23;0.849547533;2.371564551
354;10785597.26;0.931441104;2.53379062
355;12265303.68;0.898726935;2.622485968
356;7792899.712;0.896450248;2.526038983
357;12107339.88;0.913001363;2.572682483
358;13369046.96;0.892353317;2.599993806
359;8607046.932;0.856603718;2.561522717
360;12892368.99;0.899585929;2.443228937
361;13963421.04;0.895665471;2.481470808
362;12253615.23;0.905328328;2.406108316
363;13527884.98;0.882996738;2.493732919
364;12731774.51;0.972562497;2.491225563
365;7463722.747;0.892919436;2.525804017
366;10020171.87;0.933095813;2.491075627
367;17027042.07;0.905644216;2.416612795
368;8540503.85;0.872771697;2.528713661
369;5437701.33;0.870191363;2.475237466
370;14553543.13;0.919333146;2.500855156
371;12592055.03;0.951998578;2.359068215
372;9478911.009;0.876382031;2.523447304
373;10367653.43;0.923827913;2.542896787
374;11309902.1;0.876921714;2.473357964
375;10278924.76;0.909599063;2.606947673
376;13211591.63;0.858664745;2.682035224
377;16403459.88;0.877453922;2.54732365
378;9862863.736;0.921064167;2.589883131
379;10760333.09;0.930373835;2.496746863
380;11022276.14;0.913651083;2.590331271
381;18016241.03;0.900162699;2.531785924
382;12853273.19;0.939578281;2.542495148
383;11293787.06;0.96980934;2.544426792
384;15012364.14;0.887737903;2.549471969
385;16701279.82;0.883108877;2.514479284
386;14631573.69;0.868790673;2.498893153
387;10079887.12;0.902176499;2.540765578
388;11193739.28;0.926653622;2.573138071
389;15702186.83;0.927836439;2.458716719
390;10077376.16;0.943995962;2.406426417
391;16716651.68;0.928490421;2.509795541
392;15698970.08;0.89209567;2.599462702
393;13163971.86;0.897647053;2.506962547
394;16366313.02;0.91660149;2.422415418
395;4726304.349;0.898340592;2.672129793
396;13559975.64;0.868188039;2.573718618
397;11876136.85;0.894892722;2.4206382
398;9294805.259;0.88898429;2.57175353
399;14053660.25;0.913559873;2.614651338
400;12111265.96;0.935396149;2.446829888
401;10635184.11;0.905980172;2.460632788
402;12739953.92;0.915994375;2.516144401
403;8388968.659;0.948086324;2.575530298
404;13122907.1;0.885678346;2.484831948
405;10185273.69;0.935032248;2.337225071
406;10641705.89;0.924774264;2.526334326
407;16462065.15;0.927010437;2.459771999
408;11202751.87;0.894712108;2.50526508
409;11358947.02;0.845918;2.479957613
410;8778332.859;0.883537618;2.470560445
411;13268046.14;0.91749105;2.459307626
412;10506721.89;0.882003704;2.476052177
413;10467457.33;0.93116138;2.613488451
414;13791079.24;0.895326474;2.587689855
415;8179892.234;0.90397267;2.36803962
416;11989218.5;0.897883217;2.587055067
417;13546817.77;0.906370695;2.569684256
418;6255545.62;0.964363382;2.448488913
419;15677060.42;0.883553333;2.546444406
420;10004104.55;0.929300005;2.471306717
421;13243767.18;0.902458587;2.474228706
422;6607499.328;0.88063962;2.512501445
423;14308102.43;0.871870597;2.457626176
424;10995561.38;0.839543338;2.518480862
425;11715950.79;0.911969182;2.334541885
426;16807047.22;0.946775008;2.543670369
427;8815555.411;0.930665986;2.453901766
428;4007941.515;0.928286279;2.461763934
429;9565434.695;0.885249874;2.473995741
430;13317205.3;0.878122268;2.608668692
431;13102305.62;0.860572762;2.496472392
432;10965257.37;0.861743485;2.376242375
433;14124165.02;0.844652474;2.510619675
434;13470341.71;0.890387545;2.533042269
435;9148821.862;0.901310905;2.655329543
436;12723713.84;0.886568134;2.38055364
437;19207948.37;0.918854702;2.347276203
438;14686740.59;0.911944422;2.528394985
439;10618644.15;0.878558204;2.373994545
440;11029659.1;0.914009858;2.511933722
441;11270626.14;0.935019786;2.576047929
442;15705761.67;0.874996182;2.397765048
443;14505595.53;0.91996629;2.514337715
444;9214802.772;0.927662766;2.428136132
445;10622593.64;0.93120599;2.56879749
446;12954660.18;0.858185065;2.482075358
447;17884525.76;0.887280318;2.46335814
448;17257687.31;0.961934563;2.475563082
449;15824295.25;0.866765152;2.553165043
450;17360710.31;0.93612955;2.477595106
451;13134608.65;0.861549586;2.483360333
452;16702550.43;0.944399278;2.626213779
453;11559172.56;0.865593961;2.543700412
454;13277564.99;0.911783995;2.486595638
455;17887020.13;0.919185694;2.532938311
456;17485295.31;0.91461069;2.523892893
457;9136451.676;0.912897361;2.430978752
458;7923179.366;0.918330971;2.52201612
459;14144966.88;0.913699957;2.594714018
460;14451702.45;0.864013553;2.507303182
461;15026073.19;0.901573451;2.442407058
462;9420114.877;0.969283773;2.609635877
463;14848910.97;0.901307068;2.451985933
464;10362082.81;0.92286337;2.439928216
465;14679217.82;0.940987759;2.595313291
466;10696300.12;0.861463882;2.442734177
467;6893074.468;0.903897417;2.572477467
468;14634912.62;0.879520089;2.582717212
469;7223481.857;0.928324448;2.690579573
470;12531966.06;0.935593894;2.507811041
471;14519608.38;0.839174552;2.550467548
472;15663842.27;0.908740718;2.605932307
473;22911769.51;0.90882054;2.534089281
474;15059704.68;0.930256849;2.441645797
475;15369468.66;0.794332323;2.395500591
476;16050044.83;0.89262119;2.460359302
477;12260283.17;0.880779235;2.600255404
478;9498584.163;0.877113939;2.521777781
479;13591849.54;0.934116714;2.635087339
480;14326444.05;0.911875692;2.480004962
481;6240196.009;0.894203413;2.464125775
482;9253425.232;0.894821413;2.598400746
483;15394989.74;0.903407092;2.45076253
484;12887312.47;0.889846385;2.44601671
485;15649264.61;0.920110187;2.49563413
486;14005299.23;0.896442893;2.691584933
487;9438616.387;0.867838359;2.510696842
488;9870188.479;0.871338987;2.518174214
489;18978970.94;0.925167411;2.647273696
490;9035370.042;0.872523556;2.481828996
491;13506795.8;0.948248615;2.522414694
492;7667880.606;0.938297317;2.524763996
493;9052222.583;0.886084639;2.423832743
494;11774926.72;0.902653798;2.417451049
495;12463388.16;0.92869164;2.552494529
496;12793644.84;0.903503611;2.265567056
497;14781087.64;0.906886467;2.520886326
498;14590776.09;0.90158129;2.545635516
499;11128341.45;0.914636369;2.546677678
500;10482860.78;0.945890191;2.594336716
