"Age";"Year";"fs1";"fs2";"fs3";"fs4";"fs5";"fs6";"fs7";"fs8";"Sex"
4;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
0;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
0;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
1;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
2;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
3;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
4;2018;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
0;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
0;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
1;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
2;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
3;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
4;2019;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
0;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
0;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
1;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
2;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
3;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
4;2020;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
0;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
0;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
1;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
2;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
3;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
4;2021;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
