"year";"month";"PRODUCTION";"fleet_segment"
"2013";"Jun";"56910";"ITA_PS_VL_2440"
"2013";"Jul";"59901";"ITA_PS_VL_2440"
"2013";"Aug";"51594";"ITA_PS_VL_2440"
"2013";"Sep";"277673";"ITA_PS_VL_2440"
"2013";"Oct";"232719";"ITA_PS_VL_2440"
"2013";"Nov";"60915";"ITA_PS_VL_2440"
"2013";"Dec";"12334";"ITA_PS_VL_2440"
"2014";"Jan";"13625";"ITA_PS_VL_2440"
"2014";"Feb";"10258";"ITA_PS_VL_2440"
"2014";"Mar";"6061";"ITA_PS_VL_2440"
"2014";"Apr";"3196";"ITA_PS_VL_2440"
"2014";"May";"3703";"ITA_PS_VL_2440"
"2014";"Jun";"56910";"ITA_PS_VL_2440"
"2014";"Jul";"59901";"ITA_PS_VL_2440"
"2014";"Aug";"51594";"ITA_PS_VL_2440"
"2014";"Sep";"277673";"ITA_PS_VL_2440"
"2014";"Oct";"232719";"ITA_PS_VL_2440"
"2014";"Nov";"60915";"ITA_PS_VL_2440"
"2014";"Dec";"12334";"ITA_PS_VL_2440"
"";"seed";"90281.97301";"HRV_PS_VL_1218"
"2008";"Jan";"90281.97301";"HRV_PS_VL_1218"
"2008";"Feb";"90281.97301";"HRV_PS_VL_1218"
"2008";"Mar";"90281.97301";"HRV_PS_VL_1218"
"2008";"Apr";"90281.97301";"HRV_PS_VL_1218"
"2008";"May";"90281.97301";"HRV_PS_VL_1218"
"2008";"Jun";"90281.97301";"HRV_PS_VL_1218"
"2008";"Jul";"90281.97301";"HRV_PS_VL_1218"
"2008";"Aug";"90281.97301";"HRV_PS_VL_1218"
"2008";"Sep";"90281.97301";"HRV_PS_VL_1218"
"2008";"Oct";"90281.97301";"HRV_PS_VL_1218"
"2008";"Nov";"90281.97301";"HRV_PS_VL_1218"
"2008";"Dec";"90281.97301";"HRV_PS_VL_1218"
"2009";"Jan";"95453.71511";"HRV_PS_VL_1218"
"2009";"Feb";"95453.71511";"HRV_PS_VL_1218"
"2009";"Mar";"95453.71511";"HRV_PS_VL_1218"
"2009";"Apr";"95453.71511";"HRV_PS_VL_1218"
"2009";"May";"95453.71511";"HRV_PS_VL_1218"
"2009";"Jun";"95453.71511";"HRV_PS_VL_1218"
"2009";"Jul";"95453.71511";"HRV_PS_VL_1218"
"2009";"Aug";"95453.71511";"HRV_PS_VL_1218"
"2009";"Sep";"95453.71511";"HRV_PS_VL_1218"
"2009";"Oct";"95453.71511";"HRV_PS_VL_1218"
"2009";"Nov";"95453.71511";"HRV_PS_VL_1218"
"2009";"Dec";"95453.71511";"HRV_PS_VL_1218"
"2010";"Jan";"94925.21004";"HRV_PS_VL_1218"
"2010";"Feb";"94925.21004";"HRV_PS_VL_1218"
"2010";"Mar";"94925.21004";"HRV_PS_VL_1218"
"2010";"Apr";"94925.21004";"HRV_PS_VL_1218"
"2010";"May";"94925.21004";"HRV_PS_VL_1218"
"2010";"Jun";"94925.21004";"HRV_PS_VL_1218"
"2010";"Jul";"94925.21004";"HRV_PS_VL_1218"
"2010";"Aug";"94925.21004";"HRV_PS_VL_1218"
"2010";"Sep";"94925.21004";"HRV_PS_VL_1218"
"2010";"Oct";"94925.21004";"HRV_PS_VL_1218"
"2010";"Nov";"94925.21004";"HRV_PS_VL_1218"
"2010";"Dec";"94925.21004";"HRV_PS_VL_1218"
"2011";"Jan";"88458.33333";"HRV_PS_VL_1218"
"2011";"Feb";"88458.33333";"HRV_PS_VL_1218"
"2011";"Mar";"88458.33333";"HRV_PS_VL_1218"
"2011";"Apr";"88458.33333";"HRV_PS_VL_1218"
"2011";"May";"88458.33333";"HRV_PS_VL_1218"
"2011";"Jun";"88458.33333";"HRV_PS_VL_1218"
"2011";"Jul";"88458.33333";"HRV_PS_VL_1218"
"2011";"Aug";"88458.33333";"HRV_PS_VL_1218"
"2011";"Sep";"88458.33333";"HRV_PS_VL_1218"
"2011";"Oct";"88458.33333";"HRV_PS_VL_1218"
"2011";"Nov";"88458.33333";"HRV_PS_VL_1218"
"2011";"Dec";"88458.33333";"HRV_PS_VL_1218"
"2012";"Jan";"47016.66667";"HRV_PS_VL_1218"
"2012";"Feb";"47016.66667";"HRV_PS_VL_1218"
"2012";"Mar";"47016.66667";"HRV_PS_VL_1218"
"2012";"Apr";"47016.66667";"HRV_PS_VL_1218"
"2012";"May";"47016.66667";"HRV_PS_VL_1218"
"2012";"Jun";"47016.66667";"HRV_PS_VL_1218"
"2012";"Jul";"47016.66667";"HRV_PS_VL_1218"
"2012";"Aug";"47016.66667";"HRV_PS_VL_1218"
"2012";"Sep";"47016.66667";"HRV_PS_VL_1218"
"2012";"Oct";"47016.66667";"HRV_PS_VL_1218"
"2012";"Nov";"47016.66667";"HRV_PS_VL_1218"
"2012";"Dec";"47016.66667";"HRV_PS_VL_1218"
"2013";"Jan";"73583.33333";"HRV_PS_VL_1218"
"2013";"Feb";"73583.33333";"HRV_PS_VL_1218"
"2013";"Mar";"73583.33333";"HRV_PS_VL_1218"
"2013";"Apr";"73583.33333";"HRV_PS_VL_1218"
"2013";"May";"73583.33333";"HRV_PS_VL_1218"
"2013";"Jun";"73583.33333";"HRV_PS_VL_1218"
"2013";"Jul";"73583.33333";"HRV_PS_VL_1218"
"2013";"Aug";"73583.33333";"HRV_PS_VL_1218"
"2013";"Sep";"73583.33333";"HRV_PS_VL_1218"
"2013";"Oct";"73583.33333";"HRV_PS_VL_1218"
"2013";"Nov";"73583.33333";"HRV_PS_VL_1218"
"2013";"Dec";"73583.33333";"HRV_PS_VL_1218"
"2014";"Jan";"73583.33333";"HRV_PS_VL_1218"
"2014";"Feb";"73583.33333";"HRV_PS_VL_1218"
"2014";"Mar";"73583.33333";"HRV_PS_VL_1218"
"2014";"Apr";"73583.33333";"HRV_PS_VL_1218"
"2014";"May";"73583.33333";"HRV_PS_VL_1218"
"2014";"Jun";"73583.33333";"HRV_PS_VL_1218"
"2014";"Jul";"73583.33333";"HRV_PS_VL_1218"
"2014";"Aug";"73583.33333";"HRV_PS_VL_1218"
"2014";"Sep";"73583.33333";"HRV_PS_VL_1218"
"2014";"Oct";"73583.33333";"HRV_PS_VL_1218"
"2014";"Nov";"73583.33333";"HRV_PS_VL_1218"
"2014";"Dec";"73583.33333";"HRV_PS_VL_1218"
"";"seed";"309286";"HRV_PS_VL_1824"
"2008";"Jan";"309286";"HRV_PS_VL_1824"
"2008";"Feb";"309286";"HRV_PS_VL_1824"
"2008";"Mar";"309286";"HRV_PS_VL_1824"
"2008";"Apr";"309286";"HRV_PS_VL_1824"
"2008";"May";"309286";"HRV_PS_VL_1824"
"2008";"Jun";"309286";"HRV_PS_VL_1824"
"2008";"Jul";"309286";"HRV_PS_VL_1824"
"2008";"Aug";"309286";"HRV_PS_VL_1824"
"2008";"Sep";"309286";"HRV_PS_VL_1824"
"2008";"Oct";"309286";"HRV_PS_VL_1824"
"2008";"Nov";"309286";"HRV_PS_VL_1824"
"2008";"Dec";"309286";"HRV_PS_VL_1824"
"2009";"Jan";"309286";"HRV_PS_VL_1824"
"2009";"Feb";"309286";"HRV_PS_VL_1824"
"2009";"Mar";"309286";"HRV_PS_VL_1824"
"2009";"Apr";"309286";"HRV_PS_VL_1824"
"2009";"May";"309286";"HRV_PS_VL_1824"
"2009";"Jun";"309286";"HRV_PS_VL_1824"
"2009";"Jul";"309286";"HRV_PS_VL_1824"
"2009";"Aug";"309286";"HRV_PS_VL_1824"
"2009";"Sep";"309286";"HRV_PS_VL_1824"
"2009";"Oct";"309286";"HRV_PS_VL_1824"
"2009";"Nov";"309286";"HRV_PS_VL_1824"
"2009";"Dec";"309286";"HRV_PS_VL_1824"
"2010";"Jan";"273749";"HRV_PS_VL_1824"
"2010";"Feb";"273749";"HRV_PS_VL_1824"
"2010";"Mar";"273749";"HRV_PS_VL_1824"
"2010";"Apr";"273749";"HRV_PS_VL_1824"
"2010";"May";"273749";"HRV_PS_VL_1824"
"2010";"Jun";"273749";"HRV_PS_VL_1824"
"2010";"Jul";"273749";"HRV_PS_VL_1824"
"2010";"Aug";"273749";"HRV_PS_VL_1824"
"2010";"Sep";"273749";"HRV_PS_VL_1824"
"2010";"Oct";"273749";"HRV_PS_VL_1824"
"2010";"Nov";"273749";"HRV_PS_VL_1824"
"2010";"Dec";"273749";"HRV_PS_VL_1824"
"2011";"Jan";"393526";"HRV_PS_VL_1824"
"2011";"Feb";"393526";"HRV_PS_VL_1824"
"2011";"Mar";"393526";"HRV_PS_VL_1824"
"2011";"Apr";"393526";"HRV_PS_VL_1824"
"2011";"May";"393526";"HRV_PS_VL_1824"
"2011";"Jun";"393526";"HRV_PS_VL_1824"
"2011";"Jul";"393526";"HRV_PS_VL_1824"
"2011";"Aug";"393526";"HRV_PS_VL_1824"
"2011";"Sep";"393526";"HRV_PS_VL_1824"
"2011";"Oct";"393526";"HRV_PS_VL_1824"
"2011";"Nov";"393526";"HRV_PS_VL_1824"
"2011";"Dec";"393526";"HRV_PS_VL_1824"
"2012";"Jan";"238860";"HRV_PS_VL_1824"
"2012";"Feb";"238860";"HRV_PS_VL_1824"
"2012";"Mar";"238860";"HRV_PS_VL_1824"
"2012";"Apr";"238860";"HRV_PS_VL_1824"
"2012";"May";"238860";"HRV_PS_VL_1824"
"2012";"Jun";"238860";"HRV_PS_VL_1824"
"2012";"Jul";"238860";"HRV_PS_VL_1824"
"2012";"Aug";"238860";"HRV_PS_VL_1824"
"2012";"Sep";"238860";"HRV_PS_VL_1824"
"2012";"Oct";"238860";"HRV_PS_VL_1824"
"2012";"Nov";"238860";"HRV_PS_VL_1824"
"2012";"Dec";"238860";"HRV_PS_VL_1824"
"2013";"Jan";"258755";"HRV_PS_VL_1824"
"2013";"Feb";"258755";"HRV_PS_VL_1824"
"2013";"Mar";"258755";"HRV_PS_VL_1824"
"2013";"Apr";"258755";"HRV_PS_VL_1824"
"2013";"May";"258755";"HRV_PS_VL_1824"
"2013";"Jun";"258755";"HRV_PS_VL_1824"
