"Age";"Year";"fs1";"fs2";"fs3";"fs4";"fs5";"fs6";"fs7";"fs8";"Sex"
4;2012;0.277518641;0.177697457;0.639696309;0.198277709;0.034810567;0.176849034;0.287012819;0.002679464;"M"
0;2012;0.003682738;0.002358088;0.008488922;0.002631192;0.000461945;0.002346829;0.003808729;3.56e-05;"F"
1;2012;0.062008384;0.039704476;0.142932865;0.044302899;0.007778025;0.039514905;0.06412975;0.000598696;"F"
2;2012;0.206954315;0.132514542;0.477041511;0.147861878;0.025959327;0.131881847;0.21403442;0.00199816;"F"
3;2012;0.277518641;0.177697457;0.639696309;0.198277709;0.034810567;0.176849034;0.287012819;0.002679464;"F"
4;2012;0.277518641;0.177697457;0.639696309;0.198277709;0.034810567;0.176849034;0.287012819;0.002679464;"F"
0;2013;0.001385022;0.001143501;0.004879615;0.000497521;0.000556873;0.001958237;0.003237693;1.35e-05;"M"
1;2013;0.0255522;0.021096385;0.090023752;0.009178734;0.010273717;0.036127415;0.059732018;0.00024978;"M"
2;2013;0.114380623;0.094434832;0.40297794;0.041087238;0.045988766;0.161719;0.267381496;0.001118105;"M"
3;2013;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"M"
4;2013;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"M"
0;2013;0.001385022;0.001143501;0.004879615;0.000497521;0.000556873;0.001958237;0.003237693;1.35e-05;"F"
1;2013;0.0255522;0.021096385;0.090023752;0.009178734;0.010273717;0.036127415;0.059732018;0.00024978;"F"
2;2013;0.114380623;0.094434832;0.40297794;0.041087238;0.045988766;0.161719;0.267381496;0.001118105;"F"
3;2013;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"F"
4;2013;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"F"
0;2014;0.001385022;0.001143501;0.004879615;0.000497521;0.000556873;0.001958237;0.003237693;1.35e-05;"M"
1;2014;0.0255522;0.021096385;0.090023752;0.009178734;0.010273717;0.036127415;0.059732018;0.00024978;"M"
2;2014;0.114380623;0.094434832;0.40297794;0.041087238;0.045988766;0.161719;0.267381496;0.001118105;"M"
3;2014;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"M"
4;2014;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"M"
0;2014;0.001385022;0.001143501;0.004879615;0.000497521;0.000556873;0.001958237;0.003237693;1.35e-05;"F"
1;2014;0.0255522;0.021096385;0.090023752;0.009178734;0.010273717;0.036127415;0.059732018;0.00024978;"F"
2;2014;0.114380623;0.094434832;0.40297794;0.041087238;0.045988766;0.161719;0.267381496;0.001118105;"F"
3;2014;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"F"
4;2014;0.183548965;0.151541539;0.646667083;0.065933546;0.073799129;0.259513843;0.429072649;0.001794248;"F"
